"filename", "language", "JavaScript", "Markdown", "JSON", "Solidity", "comment", "blank", "total"
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/productSummary.js", "JavaScript", 37, 0, 0, 0, 1, 1, 39
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/workerDropDown.js", "JavaScript", 9, 0, 0, 0, 0, 2, 11
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Constants.js", "JavaScript", 4, 0, 0, 0, -3, 0, 1
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/blockchainReducer.js", "JavaScript", 8, 0, 0, 0, 0, 3, 11
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/cartReducer.js", "JavaScript", 4, 0, 0, 0, 0, 2, 6
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/categoryReducer.js", "JavaScript", 15, 0, 0, 0, 0, 3, 18
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/sellerReducer.js", "JavaScript", 4, 0, 0, 0, 0, 0, 4
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/userReducer.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/workerCategoryReducer.js", "JavaScript", 10, 0, 0, 0, 0, 4, 14
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/rootReducer.js", "JavaScript", 5, 0, 0, 0, 0, 0, 5
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/AdminDashboard.js", "JavaScript", 17, 0, 0, 0, 0, 0, 17
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/CartScreen.js", "JavaScript", 19, 0, 0, 0, 1, 1, 21
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/CreateStore.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
