"filename", "language", "JavaScript", "Markdown", "JSON", "Solidity", "CSS", "HTML", "comment", "blank", "total"
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/CheckoutSteps.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 2, 37
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/ErrorBox.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/Filter.js", "JavaScript", 154, 0, 0, 0, 0, 0, 0, 12, 166
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/Footer.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/Header.js", "JavaScript", 179, 0, 0, 0, 0, 0, 0, 9, 188
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/Loading.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/Menu.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/Notification.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/OrderItem.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/PriceSlider.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/ProductCard.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 9, 105
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/ProfileSidebar.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 7, 129
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/ProtectRoute.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/RatingStars.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 2, 117
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/ReviewBox.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 2, 42
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/SellerForm.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 7, 113
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/SellerSideBar.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 2, 83
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/ShowMoreText.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/Sidebar.js", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 5, 150
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/Slider.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 2, 58
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/StarBox.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 2, 62
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/StoreCard.js", "JavaScript", 92, 0, 0, 0, 0, 0, 1, 10, 103
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/StripePayment.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 8, 149
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/TrackOrder.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 3, 95
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/WorkerCard.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/WorkerFilter.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 13, 132
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/WorkerForm.js", "JavaScript", 234, 0, 0, 0, 0, 0, 1, 16, 251
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/productSummary.js", "JavaScript", 78, 0, 0, 0, 0, 0, 1, 3, 82
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Components/workerDropDown.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Constants.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 11, 45
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/StoreReducer.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/blockchainReducer.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/cartReducer.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 9, 75
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/categoryReducer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/modalReducer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/productReducer.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/sellerReducer.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/userReducer.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 4, 50
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/workerCategoryReducer.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/Reducer.js/workerReducer.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 21
